id,athlete_id,games_id,event_id,coach_id,medal_id,result_value,result_unit,is_record_holder,notes
1,1,1,1,1,1,494.699,seconds,No,-
2,2,2,2,2,2,132.463,metres,No,Olympic Debut
3,3,3,3,3,1,215.67,points,No,-
4,4,4,4,4,1,4470.383,seconds,Olympic Record,First from country
5,5,5,4,5,1,7390.643,seconds,No,Season Best
6,6,6,5,6,1,544.464,seconds,No,Youngest competitor
7,7,7,6,7,1,24.466,points,No,-
8,8,8,7,2,1,115.872,seconds,No,Disqualified (false start)
9,9,9,8,7,1,216.432,seconds,Olympic Record,-
10,10,10,9,8,3,254.58,points,No,Withdrew - injury
11,11,5,10,9,3,2.688,points,No,National Record
12,12,11,11,10,4,48.414,seconds,No,Oldest medalist
13,13,12,12,11,1,1.796,points,No,Disqualified (false start)
14,14,10,13,12,3,213.54,kg,No,-
15,15,7,14,2,1,4.99,touches,No,-
16,16,10,15,13,1,10.625,touches,No,Photo-finish silver
17,17,13,16,5,1,308.12,seconds,World Record,-
18,18,9,17,14,1,27.395,points,No,-
19,19,13,17,11,4,9.324,points,No,Photo-finish silver
20,20,14,18,15,1,296.354,points,No,Disqualified (false start)
21,21,1,19,16,1,364.611,seconds,No,-
22,22,15,20,12,1,3.772,sets,No,First from country
23,23,10,21,16,4,8.144,ippon,No,Disqualified (false start)
24,24,16,22,3,2,4.73,points,No,-
25,25,8,23,12,4,232.163,points,No,-
26,26,17,24,4,1,167.862,seconds,No,-
27,27,6,25,1,1,9.144,points,No,Personal Best
28,28,8,26,17,1,210.503,points,No,-
29,29,18,27,18,2,10.292,points,No,First from country
30,30,19,28,19,3,4357.571,seconds,Olympic Record,Technical violation
31,31,7,29,17,4,8.637,goals,No,First from country
32,32,5,20,20,1,1.063,sets,No,Olympic Debut
33,33,20,30,5,1,177.46,seconds,No,Equipment issue
34,34,2,31,5,4,49.949,seconds,No,Technical violation
35,35,8,32,8,1,110.762,metres,No,-
36,36,20,33,6,1,3557.123,seconds,No,Technical violation
37,37,21,34,21,1,543.788,seconds,No,Equipment issue
